0,0,0,0,1,0,0,
100,0,0,0,1,0,0,
0,0,0,1,1,0,1,
300,0,0,0,1,0,0,
0,-4,0,0,1,0,0,
0,-5,0,0,1,0,0,
1000,0,0,0,1,0,1,
0,0,0,0,1,1,0,
0,0,1,0,1,0,0,
3000,0,0,1,1,0,1,
0,0,0,0,0,0,0,
0,0,1,0,1,0,0,
0,0,0,1,1,0,0,
200,0,0,0,1,0,1,
0,0,1,0,1,0,0,
0,-10,0,0,1,0,0,
500,0,0,1,1,0,1,
0,0,0,1,1,0,0,
0,4,0,0,1,0,0,
0,0,1,0,1,0,0,
-1000,0,0,0,1,0,-1,
1500,0,0,0,1,0,0,
0,0,0,1,1,0,0,
0,6,0,0,1,0,0,
0,0,1,0,1,0,0,
0,-10,0,0,1,0,0,
1000,0,2,1,1,0,1,
0,0,1,0,1,0,0,
0,0,0,1,1,0,0,
0,2,0,0,1,0,0,
0,-6,0,0,1,0,0,
800,0,0,1,1,0,1,
0,0,1,0,1,0,0,
0,-16,0,1,1,0,0,
0,0,1,0,1,0,0,
0,-10,0,0,1,0,0,
0,0,0,0,0,0,0,
1000,0,0,0,1,0,1,
0,-38,0,0,1,0,0,
0,0,0,0,0,0,0,
